ranks,samples_per_rank,total_samples,time_sec,pi_estimate,error
1,10000000,10000000,0.23774361610412598,3.1415772,1.5453589793157363e-05
2,10000000,20000000,0.25907468795776367,3.1414244,0.00016825358979311034
4,10000000,40000000,0.2589759826660156,3.1412908,0.0003018535897929553
8,10000000,80000000,0.30576133728027344,3.1415069,8.575358979312497e-05
